business_id,business_category,business_true_avg_rating,business_displayed_stars,business_review_count
0,beauty,3.278,3.5,9
1,shopping,3.027,3.0,3
2,services,4.594,4.5,45
3,beauty,5.0,5.0,20
4,restaurants,3.588,3.5,22
5,health,3.124,3.0,6
6,beauty,2.62,2.5,9
7,services,3.716,3.5,16
8,restaurants,3.676,3.5,14
9,shopping,3.492,3.5,29
10,shopping,3.972,4.0,45
11,health,4.067,4.0,238
12,nightlife,4.028,4.0,25
13,services,3.676,3.5,76
14,shopping,3.244,3.0,12
15,restaurants,4.216,4.0,6
16,nightlife,3.857,4.0,18
17,restaurants,4.339,4.5,6
18,services,4.285,4.5,26
19,nightlife,3.068,3.0,12
20,beauty,3.061,3.0,4
21,shopping,3.434,3.5,140
22,health,3.269,3.5,15
23,services,4.265,4.5,6
24,beauty,4.043,4.0,61
25,restaurants,4.455,4.5,13
26,shopping,4.068,4.0,74
27,restaurants,3.965,4.0,13
28,restaurants,4.51,4.5,15
29,beauty,4.108,4.0,36
30,beauty,3.887,4.0,45
31,health,4.664,4.5,54
32,restaurants,3.913,4.0,23
33,shopping,3.683,3.5,43
34,shopping,3.389,3.5,53
35,restaurants,4.237,4.0,31
36,restaurants,4.53,4.5,22
37,shopping,3.822,4.0,7
38,restaurants,4.569,4.5,46
39,beauty,2.766,3.0,27
40,shopping,3.82,4.0,17
41,services,3.828,4.0,89
42,beauty,3.45,3.5,7
43,restaurants,5.0,5.0,128
44,services,3.814,4.0,25
45,services,3.626,3.5,35
46,shopping,3.864,4.0,18
47,restaurants,2.748,2.5,6
48,beauty,3.432,3.5,22
49,restaurants,4.391,4.5,35
50,restaurants,3.504,3.5,49
51,restaurants,3.394,3.5,21
52,services,4.57,4.5,4
53,beauty,4.587,4.5,6
54,beauty,4.134,4.0,192
55,services,3.6,3.5,9
56,shopping,3.718,3.5,103
57,nightlife,3.408,3.5,11
58,restaurants,3.303,3.5,21
59,restaurants,3.276,3.5,47
60,beauty,3.51,3.5,12
61,shopping,3.281,3.5,122
62,nightlife,2.99,3.0,27
63,beauty,3.971,4.0,40
64,nightlife,3.979,4.0,20
65,nightlife,4.785,5.0,48
66,nightlife,3.482,3.5,120
67,restaurants,4.013,4.0,23
68,restaurants,4.022,4.0,139
69,shopping,3.71,3.5,14
70,restaurants,4.259,4.5,54
71,shopping,4.276,4.5,41
72,services,4.03,4.0,9
73,restaurants,3.709,3.5,31
74,restaurants,3.653,3.5,26
75,restaurants,3.098,3.0,11
76,restaurants,3.407,3.5,36
77,beauty,3.508,3.5,29
78,nightlife,3.232,3.0,24
79,services,4.092,4.0,24
80,beauty,4.508,4.5,23
81,shopping,3.351,3.5,18
82,services,4.006,4.0,29
83,restaurants,3.281,3.5,14
84,restaurants,3.682,3.5,351
85,restaurants,3.47,3.5,7
86,beauty,4.181,4.0,15
87,shopping,3.477,3.5,16
88,restaurants,4.406,4.5,190
89,shopping,3.715,3.5,8
90,restaurants,3.493,3.5,39
91,beauty,3.161,3.0,32
92,shopping,3.989,4.0,35
93,shopping,4.342,4.5,85
94,restaurants,4.0,4.0,84
95,nightlife,5.0,5.0,17
96,shopping,4.636,4.5,31
97,restaurants,3.681,3.5,5
98,restaurants,3.675,3.5,28
99,health,4.108,4.0,12
100,services,3.389,3.5,21
101,beauty,4.491,4.5,6
102,restaurants,4.049,4.0,38
103,health,3.991,4.0,5
104,beauty,4.228,4.0,29
105,beauty,4.798,5.0,8
106,shopping,3.944,4.0,11
107,restaurants,3.788,4.0,79
108,restaurants,4.68,4.5,45
109,services,4.382,4.5,78
110,shopping,3.673,3.5,118
111,restaurants,3.853,4.0,12
112,restaurants,3.957,4.0,111
113,nightlife,4.049,4.0,7
114,restaurants,3.104,3.0,53
115,services,3.002,3.0,16
116,beauty,3.362,3.5,11
117,beauty,3.319,3.5,46
118,shopping,3.496,3.5,64
119,nightlife,4.199,4.0,62
120,nightlife,3.757,4.0,31
121,nightlife,3.958,4.0,29
122,restaurants,3.177,3.0,43
123,shopping,3.596,3.5,34
124,restaurants,4.173,4.0,43
125,shopping,4.177,4.0,31
126,restaurants,3.451,3.5,58
127,restaurants,3.939,4.0,6
128,restaurants,5.0,5.0,23
129,nightlife,3.84,4.0,7
130,restaurants,3.469,3.5,33
131,health,3.754,4.0,128
132,nightlife,3.901,4.0,16
133,shopping,3.767,4.0,29
134,nightlife,3.833,4.0,53
135,restaurants,3.056,3.0,4
136,health,3.321,3.5,16
137,shopping,3.768,4.0,36
138,services,3.759,4.0,2
139,restaurants,3.539,3.5,10
140,shopping,3.753,4.0,75
141,shopping,3.884,4.0,68
142,health,4.339,4.5,37
143,nightlife,3.795,4.0,60
144,shopping,4.07,4.0,31
145,restaurants,3.552,3.5,44
146,restaurants,4.165,4.0,19
147,shopping,4.057,4.0,29
148,shopping,4.326,4.5,14
149,restaurants,4.242,4.0,88
150,services,4.174,4.0,113
151,services,3.796,4.0,99
152,restaurants,3.985,4.0,17
153,nightlife,4.435,4.5,10
154,restaurants,3.491,3.5,89
155,beauty,3.504,3.5,43
156,restaurants,3.95,4.0,35
157,nightlife,4.078,4.0,14
158,beauty,3.397,3.5,39
159,beauty,3.809,4.0,9
160,restaurants,3.798,4.0,47
161,services,2.632,2.5,98
162,restaurants,3.729,3.5,126
163,restaurants,3.763,4.0,51
164,nightlife,3.762,4.0,7
165,shopping,4.629,4.5,31
166,services,3.181,3.0,209
167,services,3.396,3.5,11
168,restaurants,2.413,2.5,24
169,health,3.585,3.5,102
