attempt_id,business_id,business_category,business_true_avg_rating,business_displayed_stars,business_review_count,intended_star,user_review_count,user_tenure_days,user_experience_z,user_is_elite,device_mobile,session_prompted,completed,review_length
0,1943,restaurants,4.44,4.5,19,4,47,335,2.279,0,1,0,1,140.0
1,2616,restaurants,3.965,4.0,40,5,3,652,-0.5348,0,0,0,0,
2,1157,restaurants,4.047,4.0,62,5,1,238,-1.3196,0,1,0,1,15.0
3,545,shopping,4.073,4.0,42,5,6,63,0.0989,0,0,1,1,53.0
4,2289,restaurants,4.155,4.0,15,3,15,1691,1.035,0,0,0,1,172.0
5,342,services,3.703,3.5,14,5,19,297,1.2877,1,1,0,1,47.0
6,2950,restaurants,5.0,5.0,9,5,2,311,-0.8605,0,1,0,1,58.0
7,1530,restaurants,4.028,4.0,67,5,4,240,-0.2821,0,1,0,0,
8,1639,beauty,4.393,4.5,6,5,5,957,-0.0756,1,0,1,0,
9,996,nightlife,5.0,5.0,126,5,15,91,1.035,0,1,0,1,130.0
10,1131,shopping,3.232,3.0,15,3,10,79,0.6107,0,0,0,0,
11,583,shopping,3.353,3.5,192,4,7,145,0.2501,0,0,1,1,74.0
12,2232,restaurants,4.771,5.0,64,5,14,386,0.9619,0,0,0,1,106.0
13,584,services,3.446,3.5,40,5,1,142,-1.3196,0,1,0,0,
14,2722,shopping,4.036,4.0,41,5,8,137,0.3835,0,0,0,1,38.0
15,1024,nightlife,4.802,5.0,10,5,6,100,0.0989,0,0,1,1,59.0
16,2261,health,4.996,5.0,18,4,5,585,-0.0756,0,0,0,0,
17,2147,health,4.204,4.0,26,3,4,374,-0.2821,1,1,1,1,53.0
18,2533,restaurants,3.942,4.0,137,5,6,554,0.0989,0,1,1,1,45.0
19,3032,restaurants,3.393,3.5,5,5,3,167,-0.5348,0,1,0,0,
20,2242,shopping,3.497,3.5,13,4,99,254,3.1101,0,0,1,0,
21,3411,restaurants,3.697,3.5,265,2,22,533,1.4459,0,0,1,1,87.0
22,1036,shopping,3.761,4.0,11,5,16,131,1.1036,1,1,1,1,42.0
23,3005,beauty,5.0,5.0,44,5,3,668,-0.5348,0,1,0,1,21.0
24,1371,health,4.936,5.0,22,3,2,400,-0.8605,0,0,1,0,
25,2512,restaurants,3.83,4.0,46,5,4,865,-0.2821,0,1,0,0,
26,1967,services,4.461,4.5,5,5,6,630,0.0989,0,1,0,0,
